epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.108,1.41748,6.06117,1.18741,0,0,0,0,0.92452,5.88852,0.978,1.50267e-05,1.50267e-05,1.50267e-05
2,578.441,1.08973,5.90711,1.03345,0.00024,0.00027,0.00013,0.00012,0.84834,5.79559,0.92894,2.94207e-05,2.94207e-05,2.94207e-05
3,867.566,0.97563,5.72849,0.96272,0.0018,0.01205,0.00112,0.00093,0.82899,5.57905,0.91001,4.28661e-05,4.28661e-05,4.28661e-05
4,1155.23,0.93575,5.586,0.93354,0.00299,0.01966,0.00187,0.00162,0.78824,5.38875,0.89487,4.17306e-05,4.17306e-05,4.17306e-05
5,1446.06,0.89767,5.47187,0.9189,0.0035,0.02245,0.00223,0.0019,0.7618,5.29187,0.88445,4.03075e-05,4.03075e-05,4.03075e-05
6,1735.06,0.87983,5.37533,0.90803,0.00877,0.03225,0.00516,0.00465,0.73412,5.21807,0.87622,3.88844e-05,3.88844e-05,3.88844e-05
7,2023.54,0.84958,5.25623,0.90405,0.00607,0.03317,0.00394,0.00355,0.71589,5.14311,0.87031,3.74612e-05,3.74612e-05,3.74612e-05
8,2313.19,0.845,5.18559,0.89946,0.00665,0.03299,0.00427,0.00402,0.69622,5.06146,0.86383,3.60381e-05,3.60381e-05,3.60381e-05
9,2603.77,0.8323,5.12665,0.89546,0.01174,0.03493,0.00722,0.0067,0.68813,5.00304,0.86097,3.4615e-05,3.4615e-05,3.4615e-05
10,2892.91,0.81438,5.04712,0.89062,0.01682,0.03675,0.00983,0.00919,0.68135,4.93721,0.85909,3.31919e-05,3.31919e-05,3.31919e-05
11,3183.38,0.81139,5.00733,0.88619,0.01307,0.03873,0.00815,0.00769,0.67069,4.9085,0.85489,3.17688e-05,3.17688e-05,3.17688e-05
12,3475.05,0.81348,4.94046,0.8848,0.01226,0.0409,0.00796,0.00744,0.66154,4.8468,0.85167,3.03456e-05,3.03456e-05,3.03456e-05
13,3765.2,0.79805,4.88667,0.88306,0.01028,0.04392,0.00722,0.00666,0.64648,4.79666,0.84934,2.89225e-05,2.89225e-05,2.89225e-05
14,4054.62,0.78018,4.82666,0.88321,0.01142,0.04816,0.00794,0.00745,0.63559,4.73241,0.84767,2.74994e-05,2.74994e-05,2.74994e-05
15,4344.02,0.77834,4.79312,0.88166,0.01062,0.05101,0.00773,0.00715,0.63351,4.70522,0.8476,2.60762e-05,2.60762e-05,2.60762e-05
16,4634.4,0.77502,4.73018,0.87902,0.01089,0.05332,0.00802,0.00744,0.63953,4.65291,0.84623,2.46531e-05,2.46531e-05,2.46531e-05
17,4923.94,0.77749,4.69963,0.87573,0.01213,0.05535,0.00875,0.00813,0.62004,4.63315,0.84462,2.323e-05,2.323e-05,2.323e-05
18,5225.19,0.76612,4.65836,0.87487,0.01209,0.05709,0.00887,0.00828,0.61681,4.58107,0.84311,2.18069e-05,2.18069e-05,2.18069e-05
19,5519.41,0.76203,4.6433,0.87783,0.01127,0.0601,0.0087,0.00808,0.61867,4.55042,0.8433,2.03837e-05,2.03837e-05,2.03837e-05
20,5809,0.76601,4.61018,0.87211,0.01663,0.0625,0.01167,0.01095,0.61423,4.53925,0.84341,1.89606e-05,1.89606e-05,1.89606e-05
21,6101,0.76494,4.57877,0.8741,0.01707,0.06284,0.01206,0.01104,0.61168,4.5046,0.84163,1.75375e-05,1.75375e-05,1.75375e-05
22,6391.45,0.73505,4.51262,0.87367,0.02214,0.06521,0.01481,0.01372,0.60291,4.46386,0.84105,1.61144e-05,1.61144e-05,1.61144e-05
23,6683.8,0.68801,4.34218,0.86281,0.01912,0.06547,0.01397,0.01288,0.60428,4.32738,0.8422,1.46913e-05,1.46913e-05,1.46913e-05
24,6975.87,0.67404,4.31685,0.86328,0.01872,0.07066,0.01439,0.01333,0.59936,4.28229,0.84338,1.32681e-05,1.32681e-05,1.32681e-05
25,7265.17,0.67277,4.27973,0.85989,0.01937,0.07455,0.01523,0.01417,0.59945,4.2627,0.84362,1.1845e-05,1.1845e-05,1.1845e-05
26,7552.28,0.66741,4.27157,0.8596,0.0182,0.07695,0.01486,0.01376,0.59373,4.24547,0.84283,1.04219e-05,1.04219e-05,1.04219e-05
27,7839.62,0.6623,4.24153,0.85979,0.01779,0.07805,0.01494,0.0138,0.59434,4.23167,0.84278,8.99875e-06,8.99875e-06,8.99875e-06
28,8130.23,0.65858,4.22001,0.85946,0.01944,0.08086,0.01622,0.0149,0.59051,4.21252,0.84255,7.57563e-06,7.57563e-06,7.57563e-06
29,8421.91,0.65845,4.21106,0.85709,0.01965,0.0824,0.0166,0.0152,0.59086,4.19499,0.84129,6.1525e-06,6.1525e-06,6.1525e-06
30,8711.42,0.65143,4.2056,0.85954,0.01948,0.08344,0.01642,0.0151,0.58662,4.1985,0.84218,4.72937e-06,4.72937e-06,4.72937e-06
31,9002.48,0.66417,4.19819,0.85847,0.01931,0.08493,0.01651,0.01515,0.58924,4.19555,0.84152,3.30625e-06,3.30625e-06,3.30625e-06
32,9293.46,0.65802,4.18873,0.86071,0.01939,0.08393,0.01652,0.01516,0.58916,4.17958,0.84191,1.88313e-06,1.88313e-06,1.88313e-06
